0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
7.144347,21.075669,14.304388,1.210363,0.712491,4.718120,19.603357,7.178717,0.637430,0.081620,0.284609,2.689522,19.293333,4.624581,0.482465,0.083085,0.379446,3.816322,32.416840,6.348000,0.654586,0.108657,0.470718,4.796186,22.390424,4.287481,0.517017,0.085134,0.368758,3.278428,18.711267,4.215469,0.513175,0.095515,0.468282,3.779698,19.480447,2.825142,0.333635,0.088427,0.564236,4.884895,24.832702,4.149425,0.470192,0.210100,1.926341,24.012338,13.730301,1.402542
12.897751,32.269860,7.074841,1.126923,3.479589,41.993464,131.973082,48.757280,2.859583,0.288712,1.353953,17.812348,178.167838,42.792965,2.607310,0.302178,1.452693,21.781267,146.362088,47.541356,3.906666,0.465371,2.583625,34.510504,166.326815,23.000748,2.221090,0.320942,2.003047,30.673799,162.550693,38.803277,2.739221,0.395713,3.032472,32.617345,176.682995,19.561430,1.504222,0.336598,2.836054,41.702959,148.660207,35.830654,2.574972,0.677329,7.096190,84.778135,69.189974,6.822499
9.846682,41.014882,46.943084,3.364020,0.881799,4.648396,20.274156,6.804447,0.566745,0.080496,0.287960,2.707130,20.320137,4.211873,0.486452,0.082945,0.341079,3.029353,21.511016,5.328238,0.670763,0.114467,0.508691,4.491304,25.613109,4.702263,0.492245,0.086850,0.387029,3.562829,23.332855,4.447821,0.519491,0.100554,0.517797,4.386037,26.454507,3.719011,0.412062,0.096650,0.557872,4.450341,19.549790,4.022182,0.488478,0.380728,3.989942,42.178418,18.427079,1.777112
7.177668,27.515081,50.766710,4.033801,0.392813,0.690540,3.285110,0.716369,0.095422,0.016031,0.044842,0.324634,1.681832,0.435077,0.065768,0.015142,0.058946,0.429614,2.554121,0.595287,0.089757,0.019676,0.072883,0.488096,2.065435,0.478082,0.073064,0.016397,0.064830,0.502207,3.018276,0.577821,0.077146,0.018431,0.081026,0.552438,3.384465,0.521556,0.069777,0.019288,0.114341,0.995566,2.642478,0.464522,0.076261,0.137826,1.406964,14.312304,4.827828,0.407413
0.665229,2.376717,3.729933,0.529382,0.064120,0.075408,0.322868,0.077600,0.012797,0.002570,0.006078,0.034540,0.138641,0.041607,0.007725,0.002279,0.008225,0.047402,0.209431,0.057841,0.010716,0.002823,0.009074,0.049432,0.169827,0.050099,0.009446,0.002511,0.008689,0.054320,0.260055,0.058684,0.009341,0.002751,0.010886,0.061844,0.239283,0.057966,0.009196,0.002860,0.013228,0.085418,0.186843,0.046000,0.010585,0.024976,0.192435,1.139217,0.365469,0.056285
0.053443,0.186915,0.263589,0.051064,0.007813,0.006933,0.023212,0.007153,0.001463,0.000350,0.000765,0.003504,0.010968,0.003873,0.000860,0.000301,0.001004,0.004819,0.015847,0.005449,0.001190,0.000355,0.001015,0.004717,0.013855,0.004947,0.001085,0.000332,0.001020,0.005145,0.018766,0.005294,0.001025,0.000361,0.001280,0.006146,0.019607,0.005637,0.001061,0.000366,0.001377,0.006615,0.013784,0.004443,0.001354,0.003511,0.021075,0.089882,0.033685,0.007084
0.004468,0.014232,0.018194,0.004493,0.000847,0.000616,0.001552,0.000617,0.000150,0.000042,0.000089,0.000348,0.000884,0.000361,0.000092,0.000036,0.000110,0.000461,0.001249,0.000499,0.000123,0.000040,0.000103,0.000423,0.001092,0.000452,0.000112,0.000039,0.000111,0.000466,0.001336,0.000464,0.000108,0.000043,0.000138,0.000567,0.001515,0.000513,0.000113,0.000043,0.000136,0.000546,0.001090,0.000418,0.000161,0.000432,0.002128,0.007064,0.003228,0.000805
0.000386,0.001084,0.001280,0.000384,0.000086,0.000055,0.000108,0.000052,0.000014,0.000005,0.000009,0.000033,0.000073,0.000033,0.000009,0.000004,0.000011,0.000041,0.000099,0.000044,0.000012,0.000004,0.000010,0.000036,0.000083,0.000038,0.000011,0.000004,0.000012,0.000042,0.000099,0.000041,0.000011,0.000005,0.000014,0.000050,0.000115,0.000045,0.000011,0.000005,0.000013,0.000046,0.000087,0.000038,0.000018,0.000048,0.000205,0.000566,0.000299,0.000084
0.000033,0.000083,0.000093,0.000032,0.000008,0.000005,0.000008,0.000004,0.000001,0.000000,0.000001,0.000003,0.000006,0.000003,0.000001,0.000000,0.000001,0.000003,0.000008,0.000004,0.000001,0.000000,0.000001,0.000003,0.000006,0.000003,0.000001,0.000000,0.000001,0.000004,0.000008,0.000004,0.000001,0.000000,0.000001,0.000004,0.000009,0.000004,0.000001,0.000000,0.000001,0.000004,0.000007,0.000003,0.000002,0.000005,0.000019,0.000046,0.000026,0.000008
0.000003,0.000006,0.000007,0.000003,0.000001,0.000000,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000000,0.000000,0.000000,0.000002,0.000004,0.000002,0.000001
