batch_average,batch_best
104540.764720,85123.966774
102227.860287,74410.699318
100969.472123,73167.820248
98596.708201,74263.913048
97024.696747,80320.000377
94815.299480,73842.269012
94119.496644,74228.553584
91798.700413,72903.446750
90979.989936,73187.672637
89725.842332,70117.306490
88983.466886,71858.620162
87463.708503,70021.965491
87453.751871,69467.526692
86473.514261,70226.447575
85084.792278,68703.834880
84422.396051,66630.933530
83263.947967,63561.384580
82901.877490,66409.120336
81409.465479,65327.253767
80610.967584,63744.793088
81149.777506,63989.260332
79634.223244,61780.049413
79084.756310,64262.262751
79370.889334,62874.638236
78418.389079,63384.738421
77929.787127,60522.256889
77021.221718,59051.209515
76447.018090,62604.034945
77217.837343,60276.525336
75492.935815,61579.849482
75619.192284,63281.548319
75259.705347,56501.809709
74119.266333,59945.860382
73722.068292,61928.795156
74129.299840,61788.047613
72802.279219,56623.752689
73122.169334,58380.154747
72620.505700,59596.663986
72344.245481,59852.906611
70822.589554,55960.097628
71780.067578,56551.607358
71053.000793,56914.951587
71211.481667,58499.426282
70778.570515,58653.799099
69864.527223,54630.436057
69433.881064,55389.174934
69816.017496,55707.566303
69472.180995,56050.021013
68454.790224,55617.801397
68680.112234,50383.409553
68924.620211,54255.598352
68106.954197,52632.044781
68057.145578,55807.783038
67606.794776,54745.395587
67831.248196,56322.183088
67136.977075,55936.738167
67275.692676,55079.430530
66361.418614,54477.597505
66214.609960,52952.427040
65996.635365,52462.245210
65982.545010,53130.614228
65642.419328,53581.201289
65759.271583,53060.488153
65165.229911,52303.525614
64468.525434,53770.350491
64851.699834,47960.609418
64352.774549,50758.537282
63932.800838,52338.040787
63302.815009,51542.489460
64124.037013,52399.646927
64091.373814,52150.209723
63229.035211,50210.766597
63306.477144,51204.026540
62311.189606,51008.629431
63037.674221,49988.240277
62531.657244,52411.348762
62145.057248,49168.485614
62267.261823,49814.246475
61829.323650,51280.142692
62181.668113,51830.133235
61195.822364,47126.363486
61134.932019,50731.376267
61443.408306,50086.258774
61310.074644,50386.613460
61043.746425,47968.950149
60595.562996,48927.108094
60634.289874,48616.129790
60477.404993,49310.286590
60239.683198,51498.528245
59586.543096,48241.541560
59594.991322,49304.329449
60286.819090,47077.556105
59494.416719,47994.571153
59628.087897,47938.734475
59348.955872,49181.326082
59521.054622,51065.199402
58992.994721,48680.191593
59099.722458,49155.900958
58601.948701,49018.011158
58413.512124,48808.682880
58601.787569,47326.961374
58760.781382,49597.571133
58389.083795,48613.044595
58299.955134,47786.736003
58066.896343,48813.966298
58090.946977,44828.985445
58214.093903,47894.690901
57583.570219,47781.585352
57364.749930,46779.159490
