batch_average,batch_best
127165.391144,108246.003738
123409.462124,99645.481874
121408.976409,100919.725589
121266.283235,98704.852156
119498.386981,97781.617712
117289.766440,92939.949273
115734.551530,95414.336198
113767.023888,91582.977686
112934.374181,88335.562647
111524.345187,94947.681593
110256.948351,89733.284618
109279.252043,85397.431407
108713.221985,90556.252610
107232.242764,87976.130573
106944.158569,88021.183933
104963.092611,85486.200157
104731.056061,81756.189409
103845.296679,83266.270595
102566.788920,79254.492978
102130.144785,82984.443930
101596.495614,84405.683782
101172.953455,82910.184601
99691.381902,79275.745528
99474.745517,81679.392329
98565.893882,82075.488961
97679.840212,80931.360790
97419.916005,80263.474782
96313.940765,80571.907361
96594.692078,80418.813628
95898.565408,75916.011354
95165.474617,73677.198972
94393.144148,78389.970041
93838.467924,75259.193547
93054.239439,76050.023392
93117.220492,75249.914264
91844.317874,74710.524156
91173.185340,72558.375085
90877.167725,69907.055394
90476.714896,75304.536867
90175.646798,72907.054114
90198.620164,74711.763236
89236.152751,73613.625468
87956.669771,74010.067798
88152.471030,74015.377727
87509.310884,73951.729176
87219.996425,68921.495482
87238.792162,70502.032938
86838.865254,71308.093074
86180.009535,70223.377318
86273.678499,73148.620247
85754.194287,73344.483376
85902.563421,69659.103752
85198.398494,72099.742340
85632.021011,70765.720376
84327.134302,70222.082606
83794.856836,68821.747161
83635.935074,70886.438996
84495.440813,69403.736123
83454.895093,65588.204145
83124.686537,66375.885852
82540.280475,65749.614505
81860.519908,69878.382557
81938.774281,65918.431770
81435.033608,64480.331701
82180.899467,70094.507943
81255.012347,67948.654169
81145.931325,68885.945968
80880.658730,66529.844152
80681.544574,69095.922266
80084.656692,64610.712563
79609.265001,68151.338103
79722.715091,66372.077748
79292.134461,66612.377697
79900.945322,63776.826847
79326.650140,64806.688549
79485.426338,62231.253653
78893.234745,65339.890571
78617.711893,66749.092918
78891.675891,64726.471120
78105.614841,63335.566345
77992.157603,65440.682141
78546.138981,64258.539007
78212.006659,64169.630870
77698.986884,64302.188621
77208.546961,63875.535674
77851.276557,59835.165293
76793.990262,63803.956428
76697.896270,65211.103443
76346.859355,65143.757939
76267.619265,63319.557630
76021.141050,61141.027276
75860.688103,61601.580494
75696.890452,62198.422098
75680.950076,61946.108614
74599.233837,63620.094332
74995.782632,62694.245301
75371.864473,61168.917066
74899.622026,62346.414845
74280.930541,61869.947420
74504.302716,58302.824671
74045.001000,61754.299810
73872.536909,60607.301370
73818.164685,61950.947216
73638.621895,60969.144698
73292.202768,59597.922640
73356.456021,63291.117992
73230.474169,60723.251249
73087.925639,60455.642586
73311.177676,61907.346906
72953.896071,59768.872669
72701.116995,59830.241860
72504.814852,61035.609233
72029.625953,59309.712982
72229.368490,59488.391208
71874.460332,59028.957839
71716.931041,59972.562716
71684.693773,61546.833313
72426.846869,59892.984939
71729.477838,62138.415247
71337.789269,61900.310253
71493.162471,58666.054229
71182.805825,59318.353369
70938.945073,60484.313084
71362.125945,58933.681260
70511.776307,58761.663166
70546.890525,58841.526418
70778.466991,57933.686001
70085.368759,58105.862633
70524.297452,58500.898693
70063.770727,58254.521990
69956.479045,58292.873990
70019.676522,59643.813880
69605.301440,59260.999125
69880.839957,56605.949454
69515.284989,58585.277605
69213.788062,56865.086418
68855.569909,58008.013099
69043.190660,59079.784170
69601.421253,59258.144545
69120.356523,59162.772556
