batch_average,batch_best
112528.587924,82541.565758
109627.857773,77714.081227
107486.241955,84768.085134
104612.202859,81436.466576
102829.398373,85915.487692
101928.770570,82840.002028
100310.332789,76650.132371
98489.881894,78459.192430
96574.037250,78845.008188
94597.215474,75560.145406
94015.901923,69836.738185
92974.581071,68268.574720
91991.031852,72769.604235
90126.188215,71272.929613
89245.224781,74580.269462
87661.023041,72242.559546
87496.874100,69644.385029
87742.166970,68171.353929
84472.438620,69961.019540
84389.068720,68049.729511
83454.212878,66264.725430
82758.743022,66039.019539
83404.866410,65238.937043
82160.948042,67764.092471
81868.049901,66848.919821
80214.522456,68334.356951
80728.352189,67398.704174
79871.120626,64833.651038
78777.655093,62470.492242
78540.846988,63119.958742
77465.802128,64410.255898
77443.834654,65448.052945
77544.124781,62051.418162
76271.745873,59973.871107
75892.999896,62040.155236
76170.925349,61997.003416
75545.798177,62526.752234
74441.352202,60641.088684
74436.482384,59513.496371
74777.951567,58887.908091
73770.560579,61798.063977
73052.525933,58805.016369
73057.875968,60289.187758
72687.492568,58108.461495
71986.575937,61345.008225
72294.748933,57836.220957
70883.099462,56451.725056
71295.799973,57948.718768
70386.881257,59725.924258
70838.454262,57503.550762
69838.605061,58309.320764
70014.630514,59235.444809
70004.982107,59037.308482
69024.421501,59086.481510
69452.499942,57660.220565
69024.723013,55596.150526
68598.303699,57064.262029
67708.736130,56298.489927
68363.342429,56456.908122
67817.988627,53697.648970
67795.481089,55923.219228
67283.517277,53716.870278
67130.472408,55507.233068
66605.166215,52149.052239
66791.119669,53969.299638
65975.207480,53898.401277
66263.704815,53904.113831
65721.545773,52855.685877
65126.199042,54244.561038
65788.421791,49612.184839
64868.097884,53227.453124
64817.917267,52630.131840
64627.667149,54793.002566
63503.128599,50555.700229
63850.355884,52291.692566
64204.025117,51791.571968
63862.231852,52672.460153
63320.116199,51564.740588
63239.854534,52766.191516
63036.938737,53377.631726
62962.233225,51150.934026
63038.129606,50574.747393
62723.599471,51867.451252
62922.522691,53105.530476
62230.751474,51963.509825
61863.385561,48972.694341
61535.457712,50348.179092
61547.697922,48667.868970
61656.901232,51677.779574
61042.961525,50794.401075
61367.277932,49596.000944
61071.747852,50229.471941
60717.373419,48591.135878
60649.722061,51277.086822
60520.917730,51026.535297
60635.141837,49946.481691
61033.892842,50982.757622
60124.621270,49572.490527
60186.239652,48576.153189
60057.949213,46830.845591
59631.041610,49717.950355
59632.152285,49349.768478
59757.393480,49690.370736
59525.387441,46888.848034
58913.560369,46017.098046
59052.208308,47184.633630
58838.180417,47055.749294
58573.919327,48494.871832
58566.922805,50374.947752
58418.013064,47186.706525
58225.567276,48650.350294
57876.983564,48030.882374
58108.691084,49183.593749
58092.585580,49039.002483
57525.522261,50002.668325
57593.525083,48355.526095
57704.500154,49571.296270
57084.859449,48231.998897
57265.789397,46354.846971
57369.155433,48385.622961
57094.104017,47878.232222
57139.118201,48707.756515
56772.852499,48426.222840
56753.731724,49068.299817
56486.445530,48327.915867
56837.762328,46605.914020
56408.308090,48304.666666
56136.843315,46806.325200
56461.125915,48714.726641
55966.339288,46623.211278
56297.818610,47047.935313
55830.293928,48545.265803
55556.937916,47982.512961
55368.754411,46762.629238
55716.242435,46868.535745
55767.904488,47797.701197
55397.048335,47357.963211
55420.944029,47744.967884
55138.455912,48031.546840
55094.868477,45127.693343
55602.281772,46679.319857
55331.067970,46372.574948
55032.279784,44684.834287
54597.762079,45993.134141
54664.590359,43765.627810
54670.411008,45283.401249
54382.695642,44985.956622
53944.012730,45698.763006
54197.714244,45206.375300
53863.601310,43790.319349
54184.687863,46689.112794
54251.498827,46291.290336
54424.416531,46078.398286
53445.361353,44892.658841
54127.451560,45600.408712
53982.698870,43393.710782
53344.256115,45649.482757
53255.425010,44914.483358
53356.789222,46654.784808
53465.325193,45327.447608
53196.592445,44100.949089
53385.225940,43903.589202
53366.679385,46310.045804
52546.475026,43412.032752
52580.139697,44866.009922
52461.286890,44201.300200
52581.045756,44098.003299
52181.067938,44329.728309
52679.087472,46383.249371
52427.998263,45584.913992
52322.452772,44388.468682
52317.011168,45807.052473
52616.582795,44630.528609
52325.921211,45186.865614
52214.468781,45029.238658
51857.042944,45191.236994
52214.204213,45336.679499
51922.674071,44789.918604
52303.743415,43765.483945
51690.705448,44384.228993
51753.858457,44389.850118
52014.425976,44560.653667
51883.603551,44869.258197
51346.645689,45290.925545
50982.544815,43874.033499
51389.285723,43912.616481
51061.446051,43477.995274
51165.006371,44583.583600
50978.643816,42639.801993
51085.152854,44789.019803
51333.388816,44502.129487
51012.568250,41590.473461
50785.321196,43794.974389
51079.749673,44794.250423
50499.892300,42771.854973
50773.077400,43786.427126
50647.537760,42582.514991
50530.454369,43989.772267
50076.146122,43527.057454
50604.412929,42916.748960
50380.438432,44150.907301
50020.610167,43219.489644
49837.706886,43694.940281
50174.576251,42726.858609
50068.570652,43429.081965
49752.092867,43710.029719
50010.658764,43324.651103
50004.263620,43749.722936
49812.556861,43157.903126
49913.110417,43611.395748
49854.492873,43829.983246
49547.354103,42742.162724
49786.617063,43357.538262
49728.434648,43263.608780
49460.609487,41669.507631
49486.275008,42853.566443
49517.251275,41583.613260
49337.136219,42879.986533
49507.625924,43028.627659
49051.801214,42842.020420
49795.148468,43187.663683
49283.757708,42187.976783
49078.490465,43313.195566
48888.297662,42219.932942
49174.679237,42962.981985
48917.453021,42909.013326
