batch_average,batch_best
118817.777977,90860.274267
116852.261509,92684.676058
114265.515028,88145.262139
112700.295558,88718.254410
111275.264810,87908.709003
108963.986530,89571.224298
107646.722631,86267.140250
106170.873487,85107.189247
104306.858699,80236.558264
102520.630475,80164.172659
100736.916168,83181.435294
99330.755432,81413.032556
98214.812625,80177.890251
97525.142620,74991.849658
97297.320567,74076.249971
95058.433907,71063.097118
94308.521870,74404.919628
93714.605057,71702.784470
92657.048657,71875.277494
92674.864090,75903.046458
91332.813165,72793.667915
90367.091861,72696.440502
89147.268216,73287.595266
89348.991086,72251.119642
87923.383403,69226.779040
87098.845971,69618.982494
87063.262857,68896.907784
86796.735879,72997.849795
85782.638289,71849.753350
85274.366950,67386.753242
85238.877488,69412.402236
84524.312739,64059.311419
83529.483569,65047.339530
83556.985084,65007.764993
82374.608216,67595.557602
83160.459278,64215.625488
81215.192927,65516.631694
81440.473571,64859.341946
81234.415279,66131.006217
79927.125578,59809.826782
80239.746596,62531.664706
79207.492861,61494.898158
79000.919195,61631.640735
78255.607622,61934.176151
78321.750221,63989.414373
78550.501424,64375.996715
77399.272813,62741.869688
76801.008466,62317.059264
76770.890511,61833.973747
77033.474454,61728.776250
76252.623500,58762.188846
76055.227681,61960.894455
75826.518017,58895.450084
75075.184199,58434.858148
74619.562948,58782.896926
74898.191295,60071.398124
74255.504519,59333.764205
73252.425543,59471.183218
73359.992302,60579.934206
73352.215764,60108.440350
72863.352576,59789.194696
72502.007691,55077.561947
73127.350707,59577.051449
72256.895843,57480.743969
72363.564789,55335.819707
71296.221219,54606.468142
71018.513820,58279.675127
70829.855844,57430.464497
70328.517103,54072.550352
70800.604729,57039.027673
70673.199249,58090.805476
70082.810242,57196.255257
69775.655917,56811.144007
69508.296238,54568.192884
69755.141052,54920.893732
68477.958943,56024.491695
68877.158950,55755.769937
68683.704137,56818.279158
68492.833470,55586.786679
68499.737850,56040.338888
67925.018998,56052.984045
67790.613218,54291.810960
68126.284934,57251.036520
67814.273050,53755.748394
67083.911227,54326.635636
67660.048623,53741.917040
66644.216368,51263.589435
66836.022436,53720.195751
66574.335533,56816.402561
66542.297015,53809.847561
66597.525841,55245.786022
65645.393576,52049.348320
65352.760146,54493.627158
65665.577374,52927.078460
65360.345550,52867.029261
64757.291647,52363.844620
65611.222890,52955.634694
64816.171015,53043.170354
64692.988442,52078.556743
64678.172251,51437.413382
63950.800387,52779.744700
64503.992458,53595.322267
64317.066472,53261.871883
63593.806639,48670.500587
63484.400305,51968.165508
63966.633168,51406.935902
62862.040479,51295.580243
63562.833188,52605.038992
62754.549492,49799.214942
62737.145553,50955.365551
63110.015229,50630.271668
62498.864458,53269.504563
62574.032961,51116.337303
62190.371853,52630.813496
62476.570338,51193.213478
62422.401573,50255.311340
62352.611431,48939.629793
62328.820705,52281.514752
61354.787209,49348.778613
61479.916980,50095.349000
61182.228802,49870.743322
