batch_average,batch_best
116644.308766,92611.466106
115923.395936,94252.625512
113165.436532,86078.548043
111136.820719,82917.200513
108593.210081,84069.126204
106942.384966,88230.497558
106074.534518,82867.212735
105183.419809,80390.609354
102700.020151,82958.388878
101777.194480,80548.454156
100092.306891,81659.924585
98480.623683,78027.167677
97944.801711,79180.374318
98150.010315,78717.457901
95957.649490,75162.590578
94424.191633,76667.586042
94032.061078,77089.492519
93591.085945,76708.814382
92467.816842,76671.092718
92063.849599,74286.374324
91078.834126,70393.278493
90143.621653,71677.402938
89175.045718,70433.618634
88714.631507,71175.084906
87600.873471,71034.294311
87142.598011,70541.931730
86197.208693,66798.252825
85627.319708,65017.086154
85575.380414,67454.306209
85180.925279,70203.003037
83289.908335,66518.034729
83125.544869,67311.706368
83020.382020,66670.470109
82798.088398,65706.841793
82417.648624,65703.318824
81885.491357,64285.090021
82077.608963,65405.284324
81093.011779,61362.656408
80190.829374,64194.902564
79931.289084,64733.251087
79778.350037,63294.464011
78685.550087,62906.278270
79221.817662,65686.979125
78833.339603,63028.368717
78244.240692,60090.728395
78390.609920,65658.406706
77613.969090,63883.454412
77445.325298,64426.359365
76852.074306,63489.062195
76116.082706,61591.863937
76713.967244,63754.478341
75962.356712,63080.013751
76006.025288,60126.642730
75887.299318,61844.234083
75364.563455,60133.767483
75248.865164,57489.464637
74968.642380,62507.262230
74220.045207,60793.988706
74132.203925,59165.357285
73998.502092,61268.748988
74013.973717,60566.000726
73535.970465,58648.467735
73031.157075,59084.912234
72866.842780,58247.935663
72882.773494,60538.409228
72358.979528,58921.945439
71657.940711,59390.885297
72650.612027,58242.652031
71279.689849,56942.359360
71383.379698,57415.550564
71202.987246,55062.376091
70810.897484,57088.742869
71284.855279,58357.957331
70235.567664,56276.633447
70245.936931,58151.467447
69947.721602,56334.571693
70126.717581,57429.645702
69685.202826,58610.389014
70072.498416,58643.688240
69312.698228,54013.477954
69527.664469,57455.939870
70002.457853,57274.383154
68461.466331,57304.762063
68878.448802,54355.638792
68812.877388,57607.550195
68412.695695,57448.555705
68426.938339,56286.929718
68013.992017,57958.820517
68099.339892,55040.676966
68203.325876,53874.169222
67448.557076,56194.356036
67191.783746,56582.353911
67133.659995,57343.174976
66811.475273,53098.651299
66922.304644,55323.961626
66499.298450,54672.556677
67222.522602,55689.400263
66526.914829,54037.077731
66280.750195,53883.733125
65964.173600,54377.118649
66041.799155,52802.735022
65992.063899,55584.628570
65766.243442,54435.415544
65224.978170,55601.639048
65845.716450,53491.132694
65140.054755,54533.353143
64768.108604,52451.755782
65188.122003,52348.716521
64466.141208,55234.557925
65282.436618,52019.044546
64421.664364,53095.108237
65175.651204,54974.764209
64101.695805,50340.930560
64316.219336,54364.717027
64523.302345,53558.753432
63387.546877,52688.173135
63660.996599,51130.953496
63669.677989,53341.498766
63955.970961,52883.778078
63249.951390,53015.524614
63471.953538,52788.655216
63187.074163,53429.013681
63394.811927,53794.553466
63262.832478,55170.023313
62611.011695,52229.718499
62886.249845,50743.120402
62631.057346,52010.416323
62492.390216,52289.258897
62427.194939,53369.848763
62766.629532,51451.228536
62502.041814,51627.025756
62013.403646,51002.867477
62210.715648,51427.347634
62146.935222,53700.079725
62698.772782,52170.970233
61238.329525,52225.093763
61490.046682,49733.267616
61419.883991,51572.336073
61451.257698,52135.735371
61525.195144,52149.569574
61206.326433,52340.739221
60803.778607,49724.233140
60930.384148,50681.937222
60893.134272,50916.877057
60844.957429,52023.775070
60565.556916,50405.954533
60656.297746,52097.288210
60916.852808,51012.088659
60275.912738,52611.262147
60485.103777,51091.502044
59853.512473,51255.447116
60638.510133,49684.020039
59810.702316,50149.768267
60072.379021,51016.865296
59968.317335,51326.260619
59531.967044,50116.805481
59345.657197,51088.302019
59780.740360,50601.829171
59947.158273,50865.579595
59254.466062,49929.685904
59580.661967,48841.586632
59678.387826,49921.744116
59377.132285,49358.152588
59125.486649,50206.870874
