batch_average,batch_best
119201.876312,96312.596000
116222.440175,84701.884723
113421.540569,91199.676041
111677.302104,85077.768780
108653.047670,86288.177848
108196.195317,84979.416252
106663.922228,85085.014762
104186.540361,83197.588530
102376.232772,82022.244418
101784.583781,78551.132731
101077.522088,81229.798186
98502.021216,79939.675448
99371.294586,77901.313816
97387.245350,79176.491915
95769.180783,78235.575810
95386.460489,75598.727898
94485.873045,76914.757133
93390.527860,73192.324662
93400.682761,71834.157344
91761.139747,69507.806599
90872.186282,77191.974736
90865.479425,72764.781886
89522.259219,73272.732497
89314.416329,73025.292132
89287.429810,70182.238252
88004.016082,71239.699857
86771.674962,70989.718521
87208.376772,70983.563743
86008.592743,69322.969642
85165.824333,68833.226041
85580.238404,70638.342903
84585.449616,69549.619480
84276.117148,68591.056253
84333.507421,69221.220685
83129.706792,68537.739710
82626.543314,68765.130642
82239.058988,68115.714554
82143.706621,67842.874577
81771.291788,66841.307884
80691.577188,66535.176756
80332.307205,63857.692788
79957.558609,64918.000261
80717.452998,65561.309054
79479.484295,62868.349610
79476.769190,64714.378578
79152.313530,65071.177949
77761.514312,63926.918960
78363.047352,64639.378527
77812.263489,64588.776738
77362.663730,59463.164079
77345.238747,63035.721333
76796.650122,62166.970093
76359.892917,63037.964048
76510.937483,61829.573907
76367.721203,64127.057258
76263.568162,61120.010964
74998.212786,61912.802615
74889.483442,60422.008551
74581.499193,60811.474232
74779.083635,61134.846079
74468.564066,60569.565946
74766.616755,60872.977408
74008.708334,60264.008437
73527.330397,59860.843454
73661.480995,61366.874247
73515.622174,60409.627161
72652.186133,60699.398501
72963.120195,62259.834086
72281.759266,57114.784356
72668.973308,58922.987015
72049.286560,61369.350180
71593.431480,56596.232337
72044.204989,60132.801534
71911.774846,59262.002307
71161.396547,58910.061007
71206.912692,57076.935639
70936.453649,58373.610673
70572.922602,59185.687470
70935.115145,55833.038930
70210.772689,56752.598315
70049.969145,58838.481440
70114.084979,56248.235359
69337.898366,57969.306441
69219.730184,59065.552234
69556.831648,57541.559922
69625.453752,59201.963383
69172.536410,57176.505500
68767.889102,57671.075473
69237.527582,57083.655828
68621.265473,57183.446791
67718.998446,55681.144252
68112.875555,57476.746989
67715.856584,54982.549505
67999.712913,56003.500460
67424.663178,55533.106024
67548.997019,54929.330306
67717.078044,57673.717566
67343.982520,56699.362340
67348.278510,56103.410427
66988.843612,54526.320746
66775.158528,54699.698052
66127.527589,55984.790028
66762.273549,55799.458918
66447.722772,54951.411023
66022.118244,54638.051534
66056.652446,55397.155518
65661.676021,54827.726641
65874.698188,55097.950101
65246.182575,55996.516521
66141.992253,55117.362368
65433.767515,55408.027803
65472.380640,54135.644746
65288.232763,52120.741614
65196.367140,54627.586068
65036.759998,54445.261405
64646.479450,55238.008535
64582.595870,54406.938460
64257.600053,53685.000751
64168.995224,54842.405736
64533.475925,54123.564776
64222.255494,52626.650647
64322.420929,53616.435870
64194.064758,53760.781482
64036.911782,50139.585267
63950.656887,54743.299854
63441.319342,53628.282501
64097.459248,55104.908846
64057.228425,52598.143044
63601.285775,53615.089057
63360.884985,52378.879184
63026.902326,52908.900145
62686.425157,53509.062880
62853.672114,52884.843842
63120.119638,53075.520801
62829.965923,52226.859346
62094.649962,52850.181803
62150.383208,52486.681299
62177.786003,53212.802223
62255.755336,51951.858497
62035.914509,52228.082175
61726.937053,52900.501745
62249.434556,52126.472720
61988.517106,51038.441279
61585.647794,52501.444223
61932.550323,51739.801938
61509.893527,51864.185710
60931.571137,52537.797832
61567.463905,50737.846819
61536.659349,52028.561506
60855.417322,52986.967385
61394.630921,51310.300418
61076.536835,52005.126149
60801.163466,50942.358883
61313.384863,52304.967220
61071.614919,52357.668387
60373.439982,51440.038360
60645.750236,50096.963422
60914.521129,50052.114703
60422.167667,52430.618328
59563.390081,50534.765755
59972.177341,51249.877132
59989.091935,51556.649593
60118.806790,51324.342596
59612.009603,50337.528652
59485.944101,51183.094505
59261.670392,51375.693074
59870.224514,51013.725912
59675.195093,49263.656172
59792.485058,49582.478006
59265.098758,51049.175114
59923.443037,49837.336106
59227.228095,51311.251243
59485.087909,51542.252593
58893.356218,50396.836837
58532.101891,49474.307569
58828.266705,48140.194816
58676.116202,51645.312033
58544.844487,50573.665657
58658.038306,49198.512283
58482.886836,49483.447523
58562.195947,49064.004703
59427.137746,51120.187277
58305.259730,49238.816815
58234.701722,49813.050821
58193.368505,49182.528506
58055.045590,48110.333245
58409.903955,50386.651608
57786.432969,47297.659045
57987.337976,49383.003280
57798.771843,48280.219603
58046.569565,47165.077109
57645.940573,49195.978963
57659.829171,49770.342069
57407.737096,48270.787299
57547.978271,48191.996084
57420.454466,47943.495272
57094.707264,49612.049097
56994.989340,46196.046810
56954.416807,48533.073723
57020.022670,46877.189338
57241.325817,48731.412624
56714.054641,48799.801035
56894.461748,49854.566023
56764.945271,47612.678249
56641.152893,49440.045560
56389.770403,48690.963007
56526.305699,49180.535091
56182.814942,48620.401064
56604.778517,48857.522365
56808.549263,49934.613078
56593.012889,46809.939991
56350.510866,48413.190524
55894.859667,48483.366017
55938.399713,48366.392871
56215.627923,46187.360712
56050.033164,48522.731994
55941.914935,48934.517071
55929.386667,48466.902689
55701.049749,47957.639805
55964.690234,48658.250541
55654.030563,48227.999412
55463.843162,46448.776167
55809.539547,49190.574310
55658.918889,47528.334080
55659.367300,48915.036787
55313.798461,46924.671135
55702.519958,47196.496382
55356.217939,46864.747771
55045.350354,48029.507708
55123.705627,47954.752261
55359.901035,48547.644131
55313.444435,46725.112161
54684.148843,47724.969318
54636.325448,46234.910106
54695.285478,47342.640854
54522.559743,46872.816363
54757.014741,48297.516202
54909.341791,48120.115998
54497.281878,44960.063747
54749.447394,47504.437824
54470.143927,48155.658363
54730.285104,47692.914339
54695.233529,47165.095897
54286.012322,46951.804029
54571.319374,47339.811535
54495.573059,47266.066781
54071.567803,47497.434156
54243.497205,47904.095367
54446.567914,46777.205912
53982.812731,47662.862769
53958.781694,47433.175389
54151.985397,45756.492831
53856.519641,46334.004538
53905.891050,47192.440741
53933.550048,46296.213277
53618.929186,47491.271804
53703.121465,47276.029865
53991.728532,46737.615153
53400.199410,47397.093882
53872.480916,46502.043942
53573.611376,45118.237780
53338.380860,46935.193836
53616.720583,46606.097834
53181.339375,46993.924269
53346.369215,46559.252792
53187.747681,47382.060560
52993.996684,46567.650479
53212.846550,44928.675296
53016.091105,46840.570710
53033.148633,46252.712780
53012.967957,46261.781756
53069.404319,46888.917878
52894.914130,46697.393802
52866.472637,46561.917641
52736.752129,45663.209437
52663.301065,46621.304196
52994.755066,45027.572977
52990.411051,47647.537038
52640.521816,46007.246183
52223.961502,46475.921788
52788.638576,45692.018656
52724.862922,46706.130246
52566.182306,46355.809096
51935.967496,45899.897700
52222.856101,46069.899489
52378.150883,45716.317042
51994.060400,46066.171344
52208.216529,44622.205494
51939.507085,45533.004751
51954.777250,44833.152470
51588.676720,45276.495846
52097.361511,45438.083286
51563.241618,44889.071756
51985.854541,45184.998513
51576.260501,45688.860818
51941.172627,45273.547467
51678.783324,46096.685201
51538.849751,45236.245478
51320.154432,45182.375782
51696.398762,45881.120727
51826.297656,44163.412739
51879.375025,46281.571573
51576.570197,45653.887317
51156.130683,45149.257262
51360.365357,44766.471805
51007.234625,45003.658467
51393.956575,45099.839319
51236.635959,45099.981517
51158.832737,44674.356347
51216.504342,45595.021072
51226.361315,45245.395698
51222.583209,43821.006264
50997.334731,45702.189432
50682.410643,45050.564402
50802.703203,44979.450074
51019.153164,44123.165713
50678.316047,44762.190631
50737.351134,44168.429451
50989.567549,45603.357953
50569.234837,43847.078232
50462.608651,43767.114817
50699.193910,44824.378092
50601.528220,44717.953648
50581.468911,44676.307810
50411.669368,44545.469672
50395.163070,45092.605731
50303.327473,44458.426601
50422.163204,44338.775063
50803.678760,45216.691560
50334.448682,44361.942157
50274.328568,44498.853517
50160.703676,44724.837996
50399.830717,44853.723309
50338.120751,45547.962474
50168.978148,44925.563459
49991.793380,44531.765115
50008.572718,44618.666123
49728.715334,44358.416203
49762.480235,45035.849538
49794.136248,42997.743569
49820.306505,44797.476744
49600.535304,44771.986999
49777.180844,43964.282744
49782.932892,44627.643863
49629.569254,43491.321765
49788.792746,44826.689753
49609.860453,44755.528232
49458.776055,44087.057125
49331.984008,43867.857422
49611.939444,43828.667837
49306.536995,44697.395032
49510.423962,44160.988694
49329.849509,44055.670014
49074.698189,43738.033160
49417.106630,44556.879623
49187.496084,44603.633996
49135.499591,43672.193388
48932.339516,43176.706427
48880.770089,43835.121511
49305.302384,43696.126656
49034.428632,43402.327341
49364.471137,43768.651704
49224.441249,43543.543495
49014.918105,44370.364407
48922.934281,43566.324259
48762.016680,43464.575824
48671.457850,43122.183090
48937.096725,44046.178629
48949.772698,43865.094932
48817.718030,44948.752894
48786.957643,43117.790439
48716.541605,43061.175269
48821.700573,42901.991735
48640.327392,43832.514161
48616.933137,43580.318890
48517.653187,43925.441369
48527.697755,44259.538245
48620.188430,44060.568529
48581.954448,43704.898305
48537.748281,43820.506410
48314.104699,42916.150466
48550.062912,43043.992534
48277.608967,43656.113262
48233.146983,43489.133498
48176.379589,42544.129219
48487.326454,44328.499487
48227.436432,42798.369303
48160.054021,42607.138018
48234.524995,43979.651671
48232.459950,43857.801925
48288.652574,43771.755098
48199.384984,43900.644832
48128.942107,43484.758485
47954.726006,43871.789853
48203.590992,43167.086728
47870.882663,43535.876179
48082.066769,42056.802695
48170.095012,43074.946858
47789.294732,43401.121029
47681.843634,42392.481796
47852.288678,42908.345306
47671.122464,42865.790576
47749.245617,43054.893643
47638.526130,42628.603793
47816.012716,42852.178534
47435.668791,42900.766889
47430.098312,43273.531764
47350.435697,42849.441343
47452.112685,43731.263490
47848.729070,42740.333311
47454.018725,43050.493392
47382.484169,42332.626907
47205.231600,42922.037656
47471.341989,42963.466874
47245.772243,41722.315381
47461.836838,42475.782039
47220.650922,43161.975848
47281.611344,43357.420611
47164.524646,42419.478052
46957.237447,43307.514042
47136.098710,43059.848097
47296.475318,42940.137098
46907.856523,43114.628353
47229.010413,42525.620994
46852.670848,42969.208221
46986.309265,42969.772665
46835.305910,42386.199879
46893.960447,42420.300241
46724.954681,42551.339408
46914.796795,42522.890445
46626.978727,42939.930581
46996.668142,42729.405114
46785.596924,42982.230159
46888.961707,43267.897598
46834.838774,42465.934927
46764.011801,42907.146810
46753.261389,42304.671312
46856.090282,42173.106970
46534.763567,41959.898519
46625.214392,42609.817918
46684.892560,43095.521960
46501.007406,42865.629704
46603.737798,42594.822791
46793.246330,42644.247288
46399.162972,42393.787495
46356.312864,42625.762030
46386.599632,42142.447948
46321.333161,42709.411186
46336.740995,42499.562503
46376.097381,42298.927921
46312.710343,42768.242610
46264.160191,42323.611380
46341.264500,42332.514463
46325.939519,41757.920721
46250.890592,42876.754884
46283.491863,42631.358178
46182.025906,42347.578738
46350.761527,42325.464131
45865.553783,41920.601955
46335.267850,42048.357942
46115.691736,42779.942608
46077.888842,42202.587160
46085.653393,42071.451449
46027.394802,41298.906374
45923.932321,42511.418697
46027.166556,42311.258544
46057.765616,42678.688616
46027.601954,42698.392168
45856.520965,41994.971562
45958.061585,42557.025743
45700.179609,42443.502263
45930.778646,41976.757255
45992.757930,42484.178579
45809.617100,41809.391417
45729.735700,42013.971673
45844.918676,41555.883555
45927.431227,42056.944533
45711.716049,41758.401764
45845.629677,41380.857725
45587.080303,41399.888939
45673.941771,41731.943943
45742.952805,41587.680145
45514.554301,41679.124935
45575.700341,42244.710293
45361.426384,40708.397144
45532.016986,42230.427432
45451.448331,41759.175445
45445.372011,41507.179219
45289.953963,41682.783817
45347.891007,41899.827238
45190.995484,41408.607208
45258.050982,41693.187650
45523.703476,41799.970039
45190.671228,41600.394004
45380.150273,41349.938317
45228.364893,41925.545571
45115.609509,41829.356917
45382.651117,41512.308671
45190.564311,41577.351238
45075.954007,41860.714498
45394.121903,41457.374260
45210.262678,42089.542750
45083.068466,41647.493726
45047.227333,41920.504009
45178.986882,41831.155554
45055.074312,41239.283469
44957.141044,41601.019291
44810.578014,42046.778928
44857.609036,41287.840119
44783.840854,41715.492453
44864.984963,41877.744119
44900.654872,41744.731054
44945.598602,41625.037599
44736.032936,41262.040445
44744.875470,40952.790213
44800.514563,41469.172399
44704.136423,41303.622987
44610.732337,41637.285134
44883.379721,41517.682039
44742.467019,41517.927386
44710.846103,41720.938867
44688.014237,41679.181105
44768.075392,41462.099847
44685.416161,41777.210227
44704.376339,41255.804092
44549.580663,41346.853133
44542.507321,41623.489187
44537.745675,41601.129968
44662.263519,41392.415208
44394.561876,41535.255768
44494.389548,41235.163655
44352.518908,41158.285844
44494.550914,41575.730831
44560.103425,41140.423991
44379.261985,41162.219580
44354.836415,41434.329470
44408.826377,41117.393700
44337.516496,40914.007678
44273.639574,41485.938503
44257.822681,40998.541332
44372.579288,41769.507239
44403.501740,40863.447722
44362.253264,41567.736111
44154.412008,41267.107936
44122.385535,41220.966019
44163.267388,41255.160664
44127.241470,41572.415900
44195.587508,40484.654534
44097.917659,41571.886858
44234.395066,41435.265789
44122.229457,41432.715599
44131.652321,41433.722355
43849.664879,41302.231784
44139.204563,41336.995931
43929.364175,40788.397519
44147.061931,41006.229299
44004.596485,41067.914782
43899.036543,40918.564265
43989.251004,40724.592466
43913.444501,41305.035236
43964.693414,40039.697357
43879.715562,40845.167885
43784.035229,41504.342385
43887.160784,41116.748192
43953.391414,41044.441192
43988.593836,41181.683781
43997.275319,40775.485480
43900.093399,41230.627786
43883.187012,41034.863025
43644.831061,41232.155826
43716.102280,40924.511708
43790.738229,40263.842352
43672.691295,40659.951974
43728.564291,40992.160036
43771.923707,41107.605282
43765.196009,41128.917654
43649.784159,40851.471617
43527.429443,40490.905385
43664.222012,41093.209977
43613.376726,40820.217229
43524.293079,40666.690378
43511.951901,41106.472222
43524.314580,40407.716949
43644.650977,40657.120510
43585.157010,40563.853579
43540.891058,40942.191718
43487.680969,40663.770460
43339.810920,40845.283135
43590.168079,40769.411580
43498.099979,40996.403595
43408.447936,40387.411333
43209.024774,40815.441538
43277.045817,40604.255938
43243.147650,40571.165952
43264.727069,40835.559862
43390.423557,40557.722638
43215.944689,40587.556131
43381.792182,40581.028325
43344.272245,40540.071035
43294.839806,40769.794621
43377.263919,40661.361989
43291.805103,40568.850053
43244.102671,40754.890202
43253.168980,40769.344586
43112.398750,40548.201316
43172.476004,40454.478788
43263.077423,40652.466962
43240.917264,40670.563824
43073.092340,40505.174712
43157.265911,40245.104186
43080.962694,40762.824153
43068.575600,40318.439061
43028.074850,40530.963332
43029.361331,40412.719295
42976.232009,40724.116947
43010.669034,40671.843896
42980.142653,40460.475126
43069.879520,40810.475303
42953.641605,40348.788459
42815.475256,40181.522630
42889.453881,40227.211030
42978.997546,40589.901884
42918.239183,40264.030699
42991.216399,40185.695867
42668.895816,40627.741077
42843.804856,40734.271966
42847.468220,40436.939629
42961.892410,40593.911647
42828.472998,40148.873267
42749.083366,40549.598556
42622.578664,39943.370227
42819.650450,40463.642816
42699.193541,40353.892395
42841.142893,40339.554631
42789.306714,40165.112275
42905.036994,40226.314000
42715.583039,40452.526261
42623.490598,40656.517166
42643.126011,39861.652791
42707.945182,40143.480081
42764.436152,40603.563748
42668.179200,40082.396382
42595.855520,40167.989650
42648.394590,39828.213142
42577.683537,40357.156646
42607.787200,39923.031466
42547.706616,40134.900663
42440.799531,40426.296538
42461.849074,40416.044031
42495.487921,39862.890916
42417.622959,39918.797745
42543.232275,40073.461642
42606.849651,40016.428494
42421.712967,39313.777959
42487.293959,40138.044948
42448.292220,40220.201196
42340.680047,40016.634431
42502.999922,40188.158949
42366.943211,40312.186650
42556.381366,40318.191287
42331.258005,40285.880002
42359.309164,39681.527875
42335.358949,40470.385533
42324.994673,40288.530084
42389.236241,39061.842567
42241.417292,39578.140611
42203.926238,40029.505334
42260.387274,39729.483412
42319.053957,39919.192725
42267.342749,40143.753397
42256.542536,39820.478167
42224.956847,39799.770506
42184.906286,40065.417735
42158.696713,39822.476486
42241.653431,39869.415624
42073.951470,39725.880701
42175.208153,39579.418102
42038.110251,39613.646826
42149.570317,39469.443953
42208.848680,40136.873854
42118.468069,39833.059503
42129.918626,39337.209430
41913.374669,39784.715205
42014.331929,40067.000194
42143.369975,39509.065863
42041.437901,39909.887363
42071.028871,39764.094189
42048.954133,40079.132131
42140.304728,39572.807908
42032.879192,39632.588183
42062.323577,39875.379799
42075.925152,39665.870790
41971.567233,39681.390854
41876.129833,39633.425130
41910.907586,39901.663808
41902.925824,39994.270586
41868.477847,39850.185356
41909.590450,39992.976167
41915.716499,39443.599351
41890.411453,39512.331999
41884.278483,39738.136536
41855.179321,39736.608496
41856.497661,39755.496281
41781.886563,39333.564371
41823.912555,39675.791892
41789.500780,39293.839355
41750.819526,39274.324028
41803.471201,39993.265679
41798.288583,39524.740891
41644.053870,39738.529415
41785.177680,39447.246644
41631.717747,39813.020658
41790.054945,39626.524275
41720.265575,39775.267482
41790.942836,39849.794015
41732.278489,39597.618415
41670.628217,39467.587832
41705.087900,39676.875865
41761.696829,39506.597771
41625.675413,39443.099535
41568.891556,39639.402820
41488.882586,39840.531696
41583.126948,39546.169382
41576.273249,39268.539305
41526.157279,39181.263381
41506.705626,39149.748637
41502.169615,39568.898824
41544.504712,39237.960148
41629.449919,39590.993377
41404.617879,38760.296244
41419.123984,39477.033476
41466.444809,39303.051724
41426.259173,39197.736996
41416.998316,39584.715424
41373.779819,39699.031924
41344.502285,39592.744279
41455.032778,39217.063475
41477.498859,39591.331838
41375.665930,38896.791915
41472.667290,38872.858395
41423.120262,39335.134758
41399.564545,39300.306677
41335.189300,39239.039807
41299.617145,39292.128687
41346.094699,39205.377490
41329.121618,39212.181193
41312.720140,39136.474091
41215.777317,39536.380964
41390.826845,38897.529669
41208.694147,39265.733969
41344.380437,38910.571804
41211.746319,39199.313581
41274.245852,39136.834365
41285.709661,38961.481965
41271.350920,39468.161801
41135.922789,39125.459503
41125.941749,38713.817905
41251.762430,39203.018203
41172.862398,38843.686978
41223.725881,38936.140510
41213.019288,39210.046037
41052.850969,39036.669167
41195.647705,38919.830484
41166.727898,39047.861401
41178.519385,38887.913696
41175.221645,38743.109906
41087.193136,38995.696516
41162.999598,39066.977437
41043.197675,39166.823495
41051.416410,39274.741611
40999.823379,39021.885297
41002.088770,39115.952700
41026.559023,39204.477284
41023.640716,38791.872492
40959.282791,38780.814536
41015.224551,39091.751543
40985.625806,38987.174894
40978.268977,38624.070249
40950.796216,39089.671347
40937.804344,38893.708408
40850.671630,38993.445089
40886.681769,39067.024098
40890.763347,38981.760989
40845.968216,38745.631937
40882.937490,38981.380182
40978.616032,39119.725080
40837.812508,38919.041758
40809.326244,38576.186054
40814.023183,39021.948015
40832.490103,38719.544027
40868.462036,38641.048895
40885.457157,38858.135009
40811.225794,38812.504150
40698.578670,38786.416241
40843.380266,38866.622042
40691.799940,38799.735331
40727.530540,39113.211447
40791.793040,38912.152029
40619.782136,38750.298250
40672.431681,38846.226088
40640.656184,38836.948575
40716.438941,38922.034578
40704.994781,38616.311921
40721.675811,38788.405944
40555.365466,38433.050771
40807.863289,38432.951979
40674.059130,38937.548445
40603.871281,38950.472901
40662.717404,38664.189896
40654.474508,38428.785984
40708.097257,39040.595494
40533.253285,38344.256991
40716.018059,38794.133626
40680.664616,38787.733683
40578.712207,38613.957869
40583.364653,38699.943884
40547.939181,38787.210840
40562.151570,38878.255917
40625.956931,38946.531729
40614.629398,38777.422422
40625.713028,38784.127333
40549.428248,38665.198731
40367.161981,38896.728850
40494.020700,38482.795246
40605.558699,38722.750737
40514.113779,38198.378741
40420.615993,38505.553760
40384.193210,38485.386541
40501.112844,38401.804683
40314.422390,38548.053046
40452.852361,38499.599022
40501.446088,38920.571683
40401.678383,38531.744775
40402.872882,38484.873557
40556.440553,38426.652908
40410.318471,38722.650213
40350.849318,38523.417693
40354.340484,38598.955448
40218.242790,38292.958934
40324.230767,38336.332647
40332.878515,38586.705679
40257.450690,38415.183394
40269.299163,38676.168429
40261.713587,38476.908287
40278.235922,38543.491591
40164.594390,38430.644185
40275.268997,38704.607965
40303.323068,38703.536411
40239.186033,38545.339607
40176.738953,38600.024923
40120.506140,38167.651857
40174.147271,38301.158348
40179.302377,38364.843526
40294.007065,38261.870912
40164.159524,38468.008600
40007.937087,38240.471841
40214.027020,38474.530882
40064.153832,38378.204099
40050.222035,38382.140611
40168.963998,38423.180641
40136.943803,38327.248142
40008.235635,38369.155321
40130.208278,38513.767672
40068.259914,38331.853623
40056.978607,38193.657468
40044.989829,38235.591985
40033.668567,38346.906690
40034.843985,38094.867253
39859.771333,37922.384524
40079.545334,38418.233059
39988.210707,38262.778876
39863.212419,37895.299717
40025.863023,38145.855727
40054.096765,38410.918607
40006.597628,38127.289961
39946.405315,37933.065312
39822.494068,38013.996796
39909.302406,37921.726087
39889.247470,38077.606992
39817.696283,38298.126161
39864.444630,38035.782200
39856.090680,38340.602959
39777.344405,37962.966530
39804.970387,37883.289771
39790.708827,38295.088565
39768.907916,38170.664000
39793.318274,38136.235559
39902.238136,38191.454933
39814.419255,38209.955554
39817.243440,37846.076526
39710.501418,38070.687845
39692.274585,37767.728926
39737.652138,38301.215193
39742.855281,38050.352375
39788.747323,37954.703726
39774.043035,37664.499054
39712.302525,38094.917553
39738.363177,38277.051842
39760.450274,38446.708322
39803.112679,38026.645510
39712.451260,38095.323392
39725.828785,38204.509487
39634.504513,37699.118422
39620.613667,37956.566587
39674.699991,38012.929555
39638.697930,37685.469172
39663.845160,37875.370087
39609.608848,37669.102301
39556.568123,37899.291189
39621.070825,37904.132026
39538.594106,37728.289839
39615.850789,37639.322748
39504.026483,37807.413902
39575.889613,37811.514003
39555.710826,38026.407921
39543.688222,38216.292779
39452.225736,38014.543427
39490.151441,38007.374316
39458.694718,38141.679392
39488.209557,38032.430038
39508.995954,38189.557367
39414.570791,37779.660799
39420.793800,37779.713680
39510.612169,37882.888592
39398.294793,37813.247980
39513.691602,37801.967834
39405.805887,37810.497409
39463.223783,37839.605565
39427.104868,37827.137595
39454.057528,37887.491840
39385.397311,37910.756739
39314.484355,37623.652032
39333.826426,37893.891782
39362.594201,37710.917772
39374.374989,37547.332095
39314.550240,37880.881299
39341.032928,37840.288359
39271.046209,37740.881708
39317.956109,37821.964843
39275.956877,37717.322375
39241.556808,37806.232621
39306.770948,37878.102716
39315.739279,37709.402692
39262.844309,37808.696053
39246.514810,37625.570871
39199.650061,37474.621491
39271.156192,37764.201893
39214.736982,37776.731044
39287.927929,37673.213336
39215.563971,37850.404379
39135.269205,37319.053268
39242.733295,37635.781542
39062.144263,37547.113545
39101.775620,37711.830397
39252.919500,37333.100600
39131.953143,37607.522750
39136.216933,37507.884709
39089.798909,37649.105292
39032.629888,37696.190747
38896.447463,37646.057512
39132.221153,37559.306315
39077.772229,37653.889284
39109.537750,37688.333782
39039.982286,37584.421116
39003.569728,37581.375415
39033.567212,37445.271084
39037.693840,37538.729618
39055.411859,37511.939245
39064.954554,37705.523026
39054.491740,37714.913904
38979.970354,37443.808189
39019.952574,37583.967056
38923.092278,37202.004335
38965.132162,37614.259269
39081.096136,37645.784196
38927.654004,37456.795364
38928.964614,37498.432866
38933.603188,37297.259564
38986.773142,37165.301995
39008.699225,37774.196248
38888.765190,37396.441119
38774.850368,37592.679259
38802.857210,37551.378332
38824.278135,37352.212517
38799.349252,37293.323052
38921.674621,37290.275272
38798.777562,37401.563571
38926.249996,37343.956258
38708.550303,37438.020022
38815.759808,37301.310114
38818.947436,37326.033920
38739.437120,37445.948005
38859.564837,37468.317759
38802.136587,37185.082533
38814.248191,37548.794991
38855.408124,37268.369762
38725.471720,37217.454941
38817.365483,37342.554196
38643.833537,37176.824390
38765.207331,37155.919416
38744.937078,37349.074049
38662.626179,37220.538448
38658.800030,37246.899674
38704.843028,37359.743440
38648.137657,37371.147809
38720.133562,37502.546482
38710.923842,37275.739175
38591.600002,37417.295793
38569.723673,37350.629516
38645.100105,37326.977612
38676.912398,37211.210830
38589.579549,37344.011218
