0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.013368,0.000168,0.000146,0.000007,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000008,0.000010,0.000006,0.000021,0.000007,0.000006,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000006,0.000049,0.000008,0.000006,0.000007,0.000050,0.002330,0.000318,0.000011,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000025,0.002720,0.394910,62.404981,0.394723,0.004025,0.000047,0.000006,0.000005,0.000005,0.000005
2.789896,0.018064,0.025180,0.000296,0.000008,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000053,0.002488,0.000160,0.000040,0.000007,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000008,0.000128,0.007694,0.000119,0.000009,0.000051,0.004650,0.356433,0.054965,0.000593,0.000011,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000008,0.000254,0.023361,0.083499,1.192989,0.045683,0.142158,0.001556,0.000019,0.000006,0.000005,0.000005
0.818216,0.778435,4.352759,0.026906,0.000168,0.000007,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000007,0.000054,0.004965,0.390065,0.021216,0.001029,0.000040,0.000007,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000007,0.000086,0.008998,1.185883,0.010170,0.000125,0.002339,0.356167,53.683092,10.281712,0.052652,0.000300,0.000010,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000015,0.000421,0.012202,0.010409,0.039891,0.003115,0.004312,0.000134,0.000008,0.000006,0.000006,0.000005
1.399578,5.481280,41.614905,0.276921,0.001844,0.000018,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000021,0.000007,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000021,0.002486,0.389959,61.078825,2.882353,0.018749,0.000139,0.000023,0.000007,0.000006,0.000006,0.000006,0.000006,0.000006,0.000008,0.000036,0.000817,0.021142,0.388918,0.004971,0.000114,0.004658,0.356474,0.054979,0.000606,0.000019,0.000014,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000022,0.000006,0.000008,0.000126,0.003430,0.012573,0.005454,0.004121,0.002109,0.000421,0.000337,0.000019,0.000006,0.000006,0.000005
0.303203,1.397887,3.427207,0.134210,0.001612,0.000023,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000051,0.002432,0.000133,0.000010,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000055,0.005072,0.392724,0.021417,0.000280,0.000014,0.000014,0.000007,0.000006,0.000006,0.000006,0.000006,0.000006,0.000014,0.000137,0.010154,1.431939,61.168363,0.388734,0.002490,0.000137,0.002347,0.000341,0.000016,0.000011,0.000014,0.000012,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000020,0.000056,0.002587,0.000054,0.000006,0.000014,0.000334,0.006310,0.000958,0.000208,0.000225,0.003068,0.000090,0.000007,0.000006,0.000006,0.000005
1.018070,0.346452,0.280209,0.003334,0.000053,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000007,0.000051,0.004857,0.388102,0.014916,0.000253,0.000011,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000010,0.000008,0.000111,0.000007,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000008,0.000093,0.002604,0.000180,0.000024,0.000014,0.000012,0.000017,0.000006,0.000006,0.000006,0.000006,0.000006,0.000007,0.000027,0.001691,0.137797,0.390286,0.004974,0.000067,0.000012,0.000026,0.000016,0.000009,0.000013,0.000017,0.000039,0.000007,0.000006,0.000006,0.000006,0.000006,0.000012,0.000024,0.000412,0.005240,0.405941,0.005168,0.000054,0.000007,0.000079,0.002755,0.000579,0.000228,0.005002,0.381632,0.004943,0.000054,0.000006,0.000006,0.000005
0.345892,0.087429,0.096744,0.001296,0.000020,0.000022,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000021,0.002432,0.388072,61.581764,1.568077,0.012559,0.000121,0.000017,0.000006,0.000006,0.000006,0.000006,0.000006,0.000026,0.000039,0.000108,0.000242,0.025859,0.000231,0.000007,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000009,0.000041,0.000018,0.000011,0.000016,0.000020,0.000007,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000019,0.001000,0.043956,0.003443,0.000087,0.000022,0.000007,0.000021,0.000011,0.000019,0.000022,0.000123,0.005996,0.000258,0.000018,0.000006,0.000006,0.000013,0.000119,0.000090,0.002676,0.407398,63.552074,0.405941,0.002587,0.000022,0.000008,0.000074,0.000074,0.003293,0.383830,59.179068,0.381948,0.002457,0.000021,0.000006,0.000005
0.131876,0.002299,0.001287,0.000032,0.000054,0.002543,0.000057,0.000007,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000007,0.000106,0.010440,0.998380,0.121226,0.002048,0.000060,0.000023,0.000007,0.000006,0.000006,0.000006,0.000027,0.000490,0.000717,0.000824,0.026557,6.196629,0.028195,0.000155,0.000007,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000029,0.000014,0.000015,0.000015,0.000014,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000030,0.000942,0.000051,0.000008,0.000007,0.000006,0.000006,0.000006,0.000031,0.001677,0.013128,1.083352,0.036580,0.001241,0.000027,0.000008,0.000066,0.000063,0.000060,0.000124,0.005590,0.407736,0.005243,0.000056,0.000006,0.000006,0.000010,0.000325,0.017624,0.622410,3.742818,0.449839,0.002948,0.000027,0.000006,0.000005
0.001167,0.000037,0.000019,0.000054,0.005078,0.399703,0.005234,0.000079,0.000008,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000007,0.000068,0.002594,0.105639,0.008219,0.000253,0.000018,0.000017,0.000012,0.000006,0.000006,0.000008,0.000065,0.000267,0.000942,0.001079,0.058148,13.039390,0.359920,0.004432,0.000048,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000050,0.002367,0.000176,0.000046,0.000008,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000017,0.000006,0.000006,0.000006,0.000006,0.000006,0.000015,0.001629,0.262655,1.031489,1.406222,4.799223,0.119229,0.001044,0.000074,0.001462,0.000088,0.000048,0.000210,0.000226,0.002888,0.000158,0.000011,0.000006,0.000006,0.000006,0.000020,0.000454,0.005084,0.022270,0.003239,0.000403,0.000030,0.000006,0.000005
0.000015,0.000006,0.000022,0.002542,0.399748,62.533134,0.403812,0.002785,0.000039,0.000011,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000008,0.000083,0.001412,0.000759,0.000049,0.000015,0.000016,0.000007,0.000006,0.000006,0.000054,0.001326,0.000605,0.000798,0.000332,0.023387,3.133618,41.621989,0.302855,0.002094,0.000019,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000050,0.004725,0.373186,0.024560,0.004647,0.000075,0.000010,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000054,0.003996,0.145262,1.169869,3.645455,49.972314,0.560115,0.003498,0.000030,0.000064,0.000022,0.000031,0.000074,0.000058,0.000056,0.000013,0.000006,0.000006,0.000006,0.000008,0.000060,0.000366,0.000118,0.000500,0.000522,0.000798,0.000247,0.000017,0.000006
