batch_average,batch_best
114361.280484,93177.895267
112306.490525,88652.742302
109626.263825,89142.195725
108301.463447,85881.757089
105977.533703,85300.323638
104819.503922,81363.539299
102511.091256,83554.006235
101459.889464,82458.170700
100638.879528,82870.286259
99638.808930,80203.096847
98782.776059,79666.860290
97226.122035,80404.601799
95524.350757,75047.234439
95327.573788,73808.086507
94174.149016,75688.575801
93525.884397,75396.121837
92164.976391,74396.846414
91474.236362,72130.976919
89881.372035,74067.549462
90717.549647,71775.221736
89323.040496,71459.491383
88683.133218,73811.996903
88007.401838,66029.434256
87449.528362,73314.051941
86122.614046,69707.249232
85959.307835,69533.337567
85777.170066,70129.251484
84682.340187,68469.978421
84222.333859,65984.039709
84171.470830,69281.319645
83264.073715,66315.545532
82672.306312,65449.535600
81991.950060,68304.187625
81679.042410,66005.468643
81099.248738,65062.315695
81154.301978,68347.404809
80301.518166,62491.318481
80488.203543,62958.470430
79726.656107,63867.889316
79833.118692,67022.784366
79136.186164,65735.161367
78947.509055,65526.552724
77827.562335,64544.809145
78424.024151,62767.521045
77363.317620,61952.591366
77744.405154,63244.473433
76916.619435,60672.745587
76680.297418,61871.205597
76347.190999,63115.165780
76736.390174,59701.678371
75263.497128,59588.860351
75464.487227,58330.977752
74759.312709,62551.580132
74527.371496,61693.007489
74353.719125,61423.549642
74400.243085,61284.665953
73599.611487,59686.847767
73053.105174,59265.866799
72637.678901,60070.324308
72990.503122,60904.033589
73610.046076,59394.940205
72485.671513,60780.547902
72588.788610,58691.559392
71688.727792,57818.480734
71844.894562,58824.125839
71279.987049,58129.504955
71542.197063,56012.022483
71387.644569,60727.384001
70866.119278,58489.441877
70559.388730,58672.586416
70597.598512,59959.656501
70188.099476,58545.473416
70324.555747,58427.323800
69248.011593,57964.853698
69356.954901,59107.485090
68666.371092,57143.825833
68924.839407,55793.225116
69463.963597,59235.462475
68637.190932,53679.320567
68538.066151,56408.573507
68768.390426,55454.620062
68261.642169,56325.949498
68151.019371,55614.958463
68254.938064,54882.119003
68190.349307,57482.443643
68347.420214,57016.743438
67369.031982,57795.080999
67563.029009,55448.093703
67449.979074,55964.913631
67119.653966,55238.600100
66852.910921,54482.855225
65762.559670,54916.856183
66204.284009,53657.322265
66666.674076,57615.905862
65930.275069,55192.521910
65717.287938,55980.032169
66009.124357,55773.237404
65990.885025,54028.434837
65155.392813,55194.745405
65758.082420,55771.508877
65642.852985,54191.528020
64850.396312,54460.895585
64717.792318,55962.978328
65148.444110,54972.841225
64932.806494,54360.830458
64580.112824,54100.892876
64352.424970,54173.634570
64654.166701,53623.575475
64020.729598,54657.525203
64052.673385,54741.569608
63974.571293,52201.248403
63926.137548,53961.187467
63808.145446,52476.151685
63063.146116,53922.772895
63032.419630,52503.116636
63521.845324,50805.511074
63375.482880,52836.140468
62993.117528,53452.849542
63152.709404,54920.062737
63095.339599,52680.185023
62652.537566,52485.140030
62393.477557,52146.047908
63109.168094,53800.108681
62629.866886,51587.714962
62483.566133,51997.177282
62460.020078,52382.250697
62177.409780,52473.582049
61974.207890,54076.600284
62102.390176,50761.105386
61339.052853,48969.755465
61787.455006,52917.849371
61367.857802,52508.723899
61459.203237,51723.484243
61793.759535,51407.875839
60929.955549,51988.600151
61278.788688,52755.664925
61020.076820,50982.616272
61175.618365,52942.452693
60479.431517,51149.389102
60855.368001,52540.496109
61204.155002,50504.295918
60772.904261,52103.497776
60207.927531,52184.827511
60328.450619,51777.090007
60452.501495,52358.377905
60040.976655,51573.603576
60217.205931,52141.130506
60151.113459,50559.093452
60103.965642,50835.812960
60147.274315,51186.319432
59768.339564,51450.750520
59735.120372,52210.228970
59521.547412,50159.350640
59392.736527,51548.848504
59675.754362,51866.130605
59138.947107,50142.108916
59741.787495,50876.089547
59072.220719,49141.266569
59226.786600,49616.868475
59170.838578,49291.763160
58589.595605,47670.447901
58954.496480,50475.729083
58844.851694,49546.798320
58783.870744,51137.935381
58784.789131,51308.276499
58803.906594,49677.823884
58643.203986,50861.319559
58035.735917,50497.159706
58344.281054,49241.988149
58516.166928,51174.122814
57910.930278,49806.584126
58302.265756,49514.745733
57897.762535,49770.245592
57441.553412,49044.247212
57638.193515,50474.085553
57428.269469,49551.529026
57694.285458,49495.338939
57628.707290,47495.633619
57783.456764,49458.595719
57672.245862,49755.233398
57511.886942,50626.131720
57102.249902,49136.688403
57388.723504,49213.851329
57013.799526,48746.473809
57189.637856,49337.269973
57305.293916,49206.547479
57018.848160,49035.432372
56751.338812,49624.110028
56760.793333,48867.980354
56717.205242,48585.561849
56265.800993,48965.348452
56679.846383,49671.185053
56487.199053,50009.509637
56459.833584,48010.446522
56195.550955,48564.221162
56361.887732,47771.491438
55980.316145,49070.481124
56170.176383,47665.797496
55918.108871,47961.252807
55969.292497,48259.168425
55921.519974,48734.255944
56022.169319,49146.444646
55722.738978,48893.162122
56071.066887,49720.334521
56155.190508,48478.353696
55734.040209,48242.757190
55366.847533,47543.017115
55537.877716,47807.403404
55347.500489,47861.759171
55426.149902,47033.292221
55283.169869,47119.974401
55926.995337,46679.732784
55295.438630,48399.746710
55138.660505,48197.349865
55050.840563,48629.909439
54711.546149,47600.221442
54890.234433,48592.529410
54950.526130,46627.774923
55163.241218,47647.150176
54352.606781,45659.658123
54760.240860,47044.943583
54958.550369,46137.621168
54445.758305,48030.603074
54372.712645,47637.809765
54464.200585,46801.925093
54283.252142,45937.918206
54396.645710,46000.235393
54112.775942,46473.646706
54268.163359,48221.705717
54163.872145,48161.401307
54075.342753,47394.352404
53959.000927,46992.436734
53678.830293,47697.719656
54090.352605,46642.730500
53708.328573,46961.732326
53745.072954,46763.654170
53832.771311,47607.415783
53998.626072,46719.039159
53753.517310,46961.814332
53701.771186,48258.331592
53891.898410,47698.693749
53845.384117,48157.825682
53726.280291,46943.323585
53124.412294,46146.811134
53345.121475,47830.289509
53121.746949,47671.548702
53094.468671,46821.724761
53330.593964,46406.066014
53163.515062,47130.324331
53165.686342,45864.921347
53097.327155,46837.021086
52991.948937,46636.780237
52604.953829,45429.091491
53006.139277,45309.622946
53092.155914,47033.920895
52986.231572,47638.002276
52576.977614,46770.605651
52713.729681,45709.477350
52933.764948,45661.771561
52831.795388,45875.480647
52718.971589,46426.187039
52515.371942,47253.264808
52289.132850,46159.570572
52168.288638,45719.803758
52350.356611,46076.739649
51948.576498,45623.577455
52507.377436,46261.834797
52086.216153,45373.674769
52267.608139,45720.340004
51918.075213,46547.304926
52096.464886,45819.953516
52222.185828,46561.587611
51841.300703,44819.000286
51660.757560,45255.272402
51901.508290,45334.480174
51791.689467,45523.922716
