batch_average,batch_best
124956.389394,105376.092098
121530.650512,99298.483881
119537.445933,96814.535415
117178.386447,90533.711373
114764.014323,94363.297408
114614.412780,93605.494125
112461.710508,91931.731061
111231.913706,92538.155854
109912.234017,89090.514316
109424.250425,88510.634587
107817.648891,86427.112006
106160.777907,83954.415307
105041.610357,87086.248808
104196.545907,83474.239740
102221.918198,84023.876800
101909.319748,81753.427916
101287.600473,84561.487713
101243.463103,79888.129034
99757.064873,81401.316942
99861.619218,83440.558354
97913.155233,80786.286851
96700.823117,80494.357156
96476.372776,81078.183341
95916.638257,79642.425204
95087.066356,79412.491383
94820.384439,77846.049967
93464.302465,73679.670405
94103.805787,73912.475738
92331.233467,77959.835520
92041.106308,74729.716286
91926.928801,73722.751214
90939.251948,68556.546287
90289.760720,73434.409607
90147.483760,72631.925351
88756.445782,71383.140695
89297.087338,75561.725010
88128.783907,71590.849680
88307.161511,72944.575678
86799.808268,74881.754427
87234.378219,74111.516775
86701.928179,70766.291596
86347.620585,69425.979811
86216.067848,71780.890020
85354.678390,68710.798499
84472.822843,71615.820884
84865.591577,69346.921327
83625.832566,67571.379490
83983.986984,70620.118066
83327.062608,67320.560636
82847.460934,66543.999204
82371.400203,67728.446857
82011.063759,67867.843846
81704.749665,65076.087095
81395.524081,66775.902447
81525.718968,65821.018587
81704.668722,64608.578521
81270.543588,66702.301607
80244.755153,67396.822501
80010.786123,67031.317543
79745.667955,66990.803969
79839.400642,65013.975927
79670.291497,69326.989809
79275.584039,62151.746832
78484.125845,65831.730054
78095.718656,64703.213287
77762.761746,64816.810748
78728.906145,62093.993945
77960.903883,60754.557974
76864.061340,63923.572273
77294.888631,66128.339289
76938.650927,62829.277885
76795.700579,61438.901714
76092.155440,62814.068354
76084.875950,64350.266028
76317.073624,63450.455388
75995.521800,62533.578795
75288.935530,63604.035180
75565.697910,62791.679196
74876.746690,62315.607343
74832.636043,60490.625304
74560.810780,62563.395990
74485.249777,60187.440053
74454.979192,60389.251746
74137.087421,58042.379151
74108.769528,59322.386637
74588.394696,63760.704936
73887.407288,61827.143344
73344.168519,58364.831211
72493.148379,59440.323110
72482.828056,59376.554214
72618.422448,56004.786590
72234.851975,59676.530476
72101.257798,60274.971819
72159.958816,56705.092107
71330.511636,58973.323536
71611.622892,60447.703520
71365.174826,58238.426058
70855.461094,59569.243740
71194.540046,57317.832916
70662.358606,59688.202199
70649.206968,57354.149183
70612.802917,57427.355754
70566.988304,59595.629259
69614.552891,57998.025092
70178.600509,57934.138667
69391.256084,58118.300904
70041.499983,58971.546988
69990.769315,59133.432873
69509.908403,57935.303381
