batch_average,batch_best
133416.174075,98268.230369
130389.798227,95293.949874
128184.466797,98787.091342
125130.344326,92682.305787
122203.604674,94690.889334
120051.580189,93787.725452
120396.426704,92409.097847
118200.187305,88513.179153
116420.594442,89192.707624
113791.142928,88084.806490
112288.879223,85595.481662
110120.607395,82090.595248
108721.466782,78921.116329
107349.628604,79361.785526
106983.304300,79861.492698
105085.080312,78048.384854
105912.262680,78369.982392
103163.030308,77913.238324
101959.676867,82266.586189
101581.810630,76837.687803
99443.285559,76418.290871
100113.000781,78478.278596
98845.518815,74338.989948
98279.676452,73384.643210
98227.137697,77063.180861
96640.751382,75672.851727
96154.159161,71917.377069
94283.872717,74222.993829
93706.156504,72345.537769
93368.334299,70633.858097
93090.301184,69946.643999
92051.129152,66942.768108
91610.621705,71481.399772
90303.489162,72941.337014
89269.719768,70276.610094
89966.288995,65641.086442
88828.801584,71495.389038
88747.450330,66631.475376
87852.165393,68867.721160
87639.223783,69261.595300
87502.864722,70108.893062
86777.636924,68019.245526
86687.089401,72108.032605
84968.184222,67829.954141
84258.089823,64267.616146
85164.488734,65674.842750
83857.344484,69331.990192
84039.171929,64901.788448
82881.638181,68360.780619
83529.202871,67183.870934
82780.576877,67359.945380
82762.517219,64344.497507
81567.168548,66905.924627
82035.145800,64179.273359
80076.286397,65307.473854
81545.809581,64317.816123
80357.049421,62026.436224
80715.615406,63261.933698
80224.755605,64401.475819
79706.964633,65821.622224
79572.752629,65320.387483
79022.876825,66040.716844
79290.424073,65002.271375
78467.138540,62352.788060
77478.990133,63950.865843
77173.884109,62263.665666
76732.933337,64021.449068
77606.366596,62593.156004
77584.741061,62394.765455
76856.472595,61784.138143
76109.259129,60297.614966
75955.531077,59877.058131
76326.744494,59938.145962
76930.605083,61094.868694
75532.856311,59837.996750
75171.600583,56636.844067
74636.717709,61378.045071
74810.319128,59916.012166
74445.596670,60571.452899
74582.740015,60204.479433
73870.571085,60526.085469
74043.918161,58079.687479
73284.424045,59291.903736
72513.499320,56267.162571
73298.286157,60523.362070
73602.460500,58457.621370
72462.685972,58231.204241
72390.508442,58746.570647
72404.963103,59343.687094
72845.075094,58860.759663
72431.723350,56176.562455
71913.010127,58649.759124
71726.512004,59861.450720
71073.687753,57865.185363
71595.321831,58925.134451
71151.208249,57423.611559
70152.383261,56818.201933
70582.329188,57337.485041
70980.423999,54318.532350
71062.654364,56712.260326
69300.069510,56303.469450
69865.199536,57031.592377
69476.227446,53289.247220
69964.790516,57570.833391
68673.150492,53952.858201
69137.925534,55939.442734
68823.403879,57292.623208
68768.667127,56584.006680
69090.082706,54039.441906
69511.218101,56329.508496
68104.955935,56310.551703
68213.993855,55874.505097
68214.014886,53740.998666
68421.861278,52689.606799
68111.060724,56296.802812
67083.943517,53385.470120
67605.482490,54436.078472
67877.349751,52258.630291
67283.829777,56305.185655
66897.474267,56151.596011
66767.548602,55936.919869
67009.901358,53572.066137
66799.752709,54805.412392
66924.716911,55807.875332
66747.237159,54774.833314
66274.571078,54342.498815
66120.901611,54876.796832
65975.606239,55677.966829
66072.449102,53586.079537
65639.228330,52813.435322
64890.725732,53522.946766
64864.061896,51299.599777
65109.725892,54047.240153
65506.417719,52675.889877
65018.634354,52425.416564
64718.385629,52981.468681
65045.810257,52340.398085
64701.076234,54121.539026
64522.402800,53032.106527
64808.288480,54223.202897
64778.118268,53817.312958
63811.440763,51559.491134
64009.915022,52358.574897
64684.169056,52154.303859
63492.310560,51800.015541
63613.460970,54091.619439
63374.053326,51812.732970
62920.149084,50992.595402
63883.235916,52377.127527
63109.532673,52691.753557
62440.484380,50382.366358
63261.295715,52095.258396
62789.712773,52354.181195
62361.417582,50571.909959
62623.643611,50413.425584
62697.854370,51200.260184
62121.812867,50929.940261
62535.626161,49839.469642
61858.893740,48329.291913
62196.260608,50321.440072
61819.316933,51434.217706
61401.221278,50322.222579
61882.248946,50410.314379
61388.054512,51987.693905
61768.116890,51249.760963
61613.307548,50833.062622
61537.222239,50575.021685
60909.251130,49260.919077
60962.479773,51033.577432
60933.291126,50548.808553
61317.029098,50882.632025
61450.108153,50213.074869
60918.947379,50375.306320
61262.475509,50020.000395
60720.898450,49806.740626
60009.669152,50694.174715
60195.036488,50475.246736
59833.093664,50978.003734
60289.857888,47787.599954
60183.910819,49713.082006
59493.660081,47641.713187
59816.196637,48890.716575
60387.289309,50993.122368
60047.532481,50573.986833
59833.057446,48379.051303
59586.712429,50623.790197
59495.469261,49399.263176
58918.471192,49710.981378
