batch_average,batch_best
3609.656055,2271.371660
3365.257936,2196.693129
3143.066475,2108.290808
2976.759956,1889.010948
2880.393795,1826.007299
2700.323975,2032.530570
2658.186166,1957.852039
2552.593680,1889.010948
2514.005643,1826.007299
2441.672328,1826.007299
2408.435427,1826.007299
2358.236749,1826.007299
2295.881606,1826.007299
2295.004890,1826.007299
2252.717861,1763.003649
2236.583412,1763.003649
2173.573910,1763.003649
2163.988692,1763.003649
2122.817877,1763.003649
2121.716529,1763.003649
2083.914056,1763.003649
2058.871576,1763.003649
2039.891458,1763.003649
2040.909018,1763.003649
2010.922573,1763.003649
2015.242371,1763.003649
1991.876044,1763.003649
1981.427988,1763.003649
1995.292904,1763.003649
1974.339662,1763.003649
1948.998962,1763.003649
1948.953180,1763.003649
1933.808585,1763.003649
1915.544732,1763.003649
1913.656133,1763.003649
1918.040279,1763.003649
1903.837350,1763.003649
1880.715964,1763.003649
1897.895205,1763.003649
1878.140751,1763.003649
1895.415318,1763.003649
1869.435100,1763.003649
1866.918502,1763.003649
1878.404805,1763.003649
1868.881065,1763.003649
1863.460340,1763.003649
1849.824237,1763.003649
1846.685897,1763.003649
1847.700717,1763.003649
1852.269905,1763.003649
1835.051128,1763.003649
1850.510728,1763.003649
1839.737726,1763.003649
1837.798561,1763.003649
1846.182447,1763.003649
1834.602340,1763.003649
1830.794585,1763.003649
1822.646533,1763.003649
1833.545796,1763.003649
1830.092307,1763.003649
1826.225229,1763.003649
1818.128188,1763.003649
1817.319307,1763.003649
1811.042515,1763.003649
1824.402318,1763.003649
1824.919906,1763.003649
1818.842602,1763.003649
1800.145401,1763.003649
1823.183320,1763.003649
1816.096157,1763.003649
1811.636542,1763.003649
1816.681212,1763.003649
1811.642396,1763.003649
1805.326960,1763.003649
1823.636773,1763.003649
1807.324603,1763.003649
1797.667420,1763.003649
1808.835026,1763.003649
1798.008442,1763.003649
1803.357575,1763.003649
1806.554216,1763.003649
1797.388430,1763.003649
1810.585778,1763.003649
1805.725279,1763.003649
1804.522752,1763.003649
1808.238757,1763.003649
1813.001160,1763.003649
1801.386375,1763.003649
1811.741443,1763.003649
1796.959902,1763.003649
1803.387274,1763.003649
1804.583303,1763.003649
1793.645964,1763.003649
1794.086721,1763.003649
1800.482766,1763.003649
1788.517539,1763.003649
1791.333407,1763.003649
1800.082281,1763.003649
1802.350862,1763.003649
1796.064530,1763.003649
1805.108848,1763.003649
1796.678762,1763.003649
1803.998222,1763.003649
1806.366203,1763.003649
1790.051408,1763.003649
1795.746310,1763.003649
1806.935090,1763.003649
1798.195161,1763.003649
1799.357294,1763.003649
1793.016933,1763.003649
1797.268563,1763.003649
1799.139229,1763.003649
1806.219170,1763.003649
1803.215427,1763.003649
1791.721524,1763.003649
1801.962606,1763.003649
1794.938397,1763.003649
1792.655678,1763.003649
1787.150705,1763.003649
1800.690659,1763.003649
1801.635340,1763.003649
1801.571679,1763.003649
1792.970194,1763.003649
1802.738010,1763.003649
1788.780596,1763.003649
1801.567454,1763.003649
1783.309520,1763.003649
1811.129407,1763.003649
1790.005282,1763.003649
1796.437895,1763.003649
1793.839479,1763.003649
1791.383732,1763.003649
1798.762160,1763.003649
1811.489528,1763.003649
1790.732419,1763.003649
